Number,Avrg eps,Min eps,Max eps,Average acc,Min acc,Max acc,Norm
0,0.0,0,0,0.9684000015258789,0.9684000015258789,0.9684000015258789,
1,0.3421463213921187,0.30060895752219496,0.37807373955592166,0.8743539983034134,0.8574000000953674,0.8848000168800354,Infinity
1,27.95489501953125,21.5576171875,35.906982421875,0.941453999876976,0.5611000061035156,0.968500018119812,One
